date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:02	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Jul%202017%2007:00:02%20GMT	http://demo.thedevelovers.com/robots.txt		(from )
12:30:03	47379/47379	---M-Z	200	added ('OK')	text/html	etag:%223dc0ae6-b913-54e32759b5a00-gzip%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/index.html	(from )
12:30:04	121260/121260	---M--	200	added ('OK')	text/css	etag:%223dc02f5-1d9ac-525488f8feb00%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/css/bootstrap.min.css	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/css/bootstrap.min.css	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:04	29063/29063	---M--	200	added ('OK')	text/css	etag:%223dc02fe-7187-532b1ee0d4300%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/css/font-awesome.min.css	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/css/font-awesome.min.css	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:07	477702/477702	---M--	200	added ('OK')	text/css	etag:%223dc030f-74a06-54e31ed96cb80%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/css/main.css	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/css/main.css	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:08	479/479	---M--	200	added ('OK')	text/css	etag:%223dc0326-1df-53c6f44b062c0%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/css/my-custom-styles.css	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/css/my-custom-styles.css	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:08	3345/3345	---M--	200	added ('OK')	text/css	etag:%223dc0ad3-d11-527f5d2a43180%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/demo-style-switcher/assets/css/style-switcher.css	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/demo-style-switcher/assets/css/style-switcher.css	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:09	4022/4022	---M--	200	added ('OK')	image/png	etag:%223dc0711-fb6-4f0dca2a471c0%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/ico/kingadmin-favicon144x144.png	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/ico/kingadmin-favicon144x144.png	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:09	3293/3293	---M--	200	added ('OK')	image/png	etag:%223dc0708-cdd-4f0dca543d4c0%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/ico/kingadmin-favicon114x114.png	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/ico/kingadmin-favicon114x114.png	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
12:30:09	2357/2357	---M--	200	added ('OK')	image/png	etag:%223dc097e-935-4f0dca7e337c0%22	http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/ico/kingadmin-favicon72x72.png	C:/Users/ahalya/Desktop/test/kingadmin/demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/assets/ico/kingadmin-favicon72x72.png	(from http://demo.thedevelovers.com/dashboard/kingadmin-v1.6.2/)
